,concept_1,concept_2,colexification_count,age_acquisition_diff
163,ARM,POST,1,114.0
164,ARM,RAIN (PRECIPITATION),1,19.0
165,ARM,ROOM,2,52.0
166,ARM,ROPE,1,89.0
167,ARM,SHOULDER,8,72.0
168,ARM,SLAVE,2,194.0
169,ARM,STRENGTH,1,133.0
170,ARM,SWEEP,1,89.0
171,ARM,VALLEY,6,147.0
172,ARM,WASH,2,6.0
173,ARM,WEST,1,150.0
174,ARM,WOMAN,1,66.0
175,ARMOUR,CAR,1,203.0
176,ARMOUR,CLOTHES,1,206.0
177,ARMOUR,HAMMER,1,122.0
178,ARMOUR,IRON,1,119.0
179,ARMOUR,ISLAND,2,111.0
180,ARMOUR,LOCK,1,72.0
181,ARMOUR,OVEN,1,164.0
182,ARMOUR,SHIELD,6,50.0
183,ARMOUR,TOOL,2,100.0
184,ARMOUR,VOICE,1,125.0
185,ARMY,BRICK,1,56.0
186,ARMY,COUNTRY,1,12.0
187,ARMY,DOOR,1,103.0
188,ARMY,EARTH (SOIL),1,0.0
189,ARMY,ENEMY,1,50.0
190,ARMY,FIGHT,1,56.0
191,ARMY,GUARD,3,27.0
192,ARMY,HEAVEN,2,45.0
193,ARMY,LOVE,1,14.0
194,ARMY,MOTHER,1,173.0
195,ARMY,NIGHT,1,95.0
196,ARMY,PEOPLE,1,36.0
197,ARMY,SLAVE,1,69.0
198,ARMY,SOLDIER,43,42.0
199,ARMY,WAR,1,3.0
200,ARMY,WHEAT,1,69.0
201,ARMY,WOOD,1,48.0
202,ASH,BITE,1,129.0
203,ASH,BOW,2,72.0
204,ASH,BURN,1,126.0
205,ASH,BURN (SOMETHING),1,126.0
206,ASH,COTTON,1,37.0
207,ASH,COVER,1,54.0
208,ASH,DOG,2,174.0
209,ASH,DOOR,2,129.0
210,ASH,EARTH (SOIL),9,26.0
211,ASH,FAMILY,1,63.0
212,ASH,FIGHT,1,82.0
213,ASH,FINISH,1,43.0
214,ASH,FRUIT,1,124.0
215,ASH,GREEN,1,118.0
216,ASH,GROUND,1,85.0
217,ASH,ISLAND,1,54.0
218,ASH,LAND,1,57.0
219,ASH,LIME (FRUIT),2,35.0
220,ASH,LIME (MATERIAL),2,35.0
221,ASH,LOOK,1,118.0
222,ASH,MOTHER,1,199.0
223,ASH,NEEDLE (FOR SEWING),1,79.0
224,ASH,OVEN,5,107.0
225,ASH,RAIN (PRECIPITATION),1,132.0
226,ASH,SAND,3,126.0
227,ASH,SERVANT,1,63.0
228,ASH,SHAME,3,24.0
229,ASH,SLAVE,4,43.0
230,ASH,SMOKE (EXHAUST),4,115.0
