Unnamed: 0,concept_1,concept_2,colexification_count,age_acquisition_diff,assoc,Word2Vec_similarity,concreteness_diff,concreteness_1,concreteness_2,target
76,ANSWER,COVER,1,5.0,0.0,0.3572892546653747,105.0,397.0,502.0,0
77,ANSWER,DYE,1,98.0,0.0,0.3130032420158386,145.0,397.0,542.0,0
78,ANSWER,EMBRACE,1,198.0,0.0,0.2776190340518951,52.0,397.0,449.0,0
79,ANSWER,EYE,1,127.0,0.0,0.2104052752256393,237.0,397.0,634.0,0
81,ANSWER,FIGHT,1,33.0,0.0,0.3121426701545715,58.0,397.0,455.0,0
83,ANSWER,HELP,1,72.0,1.0,0.3443916141986847,77.0,397.0,320.0,0
85,ANSWER,HOLD,2,27.0,0.0,0.2246894687414169,19.0,397.0,416.0,1
86,ANSWER,INCREASE,1,125.0,0.0,0.3002887964248657,82.0,397.0,315.0,0
87,ANSWER,JUMP,1,72.0,0.0,0.2750566303730011,52.0,397.0,449.0,0
88,ANSWER,LIFT,2,17.0,0.0,0.1273048520088195,64.0,397.0,461.0,1
89,ANSWER,LIVER,2,59.0,0.0,0.3725603818893432,220.0,397.0,617.0,1
90,ANSWER,LOCK,1,34.0,0.0,0.2319137305021286,168.0,397.0,565.0,0
91,ANSWER,LOOK,1,69.0,0.0,0.2779025137424469,21.0,397.0,376.0,0
92,ANSWER,MEASURE,1,50.0,0.0,0.2952891588211059,31.0,397.0,366.0,0
93,ANSWER,OMEN,1,264.0,0.0,0.1349683851003646,78.0,397.0,319.0,0
94,ANSWER,POUND,1,14.0,0.0,0.2610427737236023,118.0,397.0,515.0,0
95,ANSWER,PRISONER,1,67.0,0.0,0.1605852544307708,151.0,397.0,548.0,0
96,ANSWER,PUNISHMENT,1,48.0,0.0,0.2595441043376922,39.0,397.0,358.0,0
97,ANSWER,REFUSE,1,100.0,0.0,0.2776622772216797,29.0,397.0,426.0,0
98,ANSWER,REPAIR,1,81.0,0.0,0.2931079268455505,3.0,397.0,394.0,0
99,ANSWER,RING,1,86.0,0.0,0.2839572727680206,196.0,397.0,593.0,0
100,ANSWER,SAP,1,170.0,0.0,0.0323209799826145,143.0,397.0,540.0,0
101,ANSWER,SCRATCH,1,25.0,0.0,0.1326984167098999,126.0,397.0,523.0,0
102,ANSWER,SHIVER,1,14.0,0.0,0.2007952332496643,58.0,397.0,455.0,0
103,ANSWER,SLAVE,1,92.0,0.0,0.2663611471652984,142.0,397.0,539.0,0
105,ANSWER,SPEECH,1,75.0,0.0,0.3165968060493469,56.0,397.0,453.0,0
106,ANSWER,SPLIT,1,87.0,0.0,0.2623979449272156,20.0,397.0,417.0,0
107,ANSWER,STRAIN,1,128.0,0.0,0.3285360038280487,59.0,397.0,338.0,0
108,ANSWER,SWEEP,1,13.0,0.0,0.2208694666624069,79.0,397.0,476.0,0
109,ANSWER,SWELL,1,134.0,0.0,0.2171182632446289,14.0,397.0,411.0,0
110,ANSWER,THROW,1,30.0,0.0,0.3020158410072326,3.0,397.0,400.0,0
111,ANSWER,TOBACCO,1,72.0,0.0,0.1928961724042892,212.0,397.0,609.0,0
112,ANSWER,TOWER,1,59.0,0.0,0.1486050933599472,188.0,397.0,585.0,0
113,ANSWER,TRY,1,65.0,0.0,0.152353435754776,137.0,397.0,260.0,0
114,ANSWER,TURN,3,61.0,0.0,0.371031254529953,38.0,397.0,359.0,1
116,ANSWER,WALK,1,88.0,0.0,0.3492971062660217,55.0,397.0,452.0,0
117,ANSWER,WASH,1,108.0,0.0,0.2083490937948227,50.0,397.0,447.0,0
118,ANSWER,YEAR,3,25.0,0.0,0.1714827865362167,33.0,397.0,364.0,1
119,APPLE,BERRY,1,78.0,0.0,0.4354639649391174,47.0,620.0,573.0,0
120,APPLE,CATTLE,1,50.0,0.0,0.4182326197624206,20.0,620.0,600.0,0
121,APPLE,FRUIT,2,8.0,34.0,0.5075607299804688,8.0,620.0,612.0,1
122,APPLE,MAST,1,181.0,0.0,0.2035162597894668,44.0,620.0,576.0,0
123,APPLE,NIGHT,1,11.0,0.0,0.4255321025848388,124.0,620.0,496.0,0
124,APPLE,WASH,1,25.0,0.0,0.2937903106212616,173.0,620.0,447.0,0
125,APPROACH,DEW,1,113.0,0.0,0.1911411732435226,255.0,323.0,578.0,0
126,APPROACH,HATE,1,166.0,0.0,0.3967103660106659,12.0,323.0,335.0,0
127,APPROACH,HOLD,1,177.0,0.0,0.4159473180770874,93.0,323.0,416.0,0
129,APPROACH,NEIGHBOUR,1,121.0,0.0,0.4296924173831939,192.0,323.0,515.0,0
131,APPROACH,PLAIN,1,83.0,0.0,0.5123634934425354,103.0,323.0,426.0,0
132,APPROACH,SPLIT,1,63.0,0.0,0.5859187245368958,94.0,323.0,417.0,0
133,APPROACH,TOUCH,1,175.0,0.0,0.5098363161087036,94.0,323.0,417.0,0
134,APPROACH,TURN,1,211.0,0.0,0.5130923986434937,36.0,323.0,359.0,0
135,ARCH,BACK,1,142.0,14.0,0.287228375673294,28.0,512.0,540.0,0
136,ARCH,BOW,28,96.0,1.0,0.2870722711086273,60.0,512.0,572.0,1
137,ARCH,CIRCLE,3,153.0,2.0,0.2546689212322235,3.0,512.0,515.0,1
138,ARCH,DITCH,1,75.0,0.0,0.2364918142557144,43.0,512.0,555.0,0
139,ARCH,PRISONER,1,6.0,0.0,0.2133734673261642,36.0,512.0,548.0,0
140,ARM,AXE,1,119.0,0.0,0.0750272795557975,31.0,592.0,623.0,0
141,ARM,BACK,1,33.0,0.0,0.0559218674898147,52.0,592.0,540.0,0
142,ARM,BIRD,1,14.0,0.0,0.0815102159976959,10.0,592.0,602.0,0
143,ARM,BRANCH,5,111.0,3.0,0.0859046056866645,9.0,592.0,583.0,1
144,ARM,BUD,1,139.0,0.0,0.0836516246199607,43.0,592.0,549.0,0
145,ARM,BUNCH,1,125.0,0.0,0.1360831707715988,140.0,592.0,452.0,0
147,ARM,BUSH,1,64.0,0.0,0.1206850335001945,7.0,592.0,585.0,0
148,ARM,CLAY,1,166.0,0.0,0.1236005201935768,14.0,592.0,606.0,0
149,ARM,DRINK,1,19.0,0.0,0.0851352587342262,43.0,592.0,549.0,0
151,ARM,EDGE,1,116.0,0.0,0.2316403687000274,127.0,592.0,465.0,0
152,ARM,ELBOW,6,45.0,9.0,0.0952091738581657,15.0,592.0,607.0,1
153,ARM,ENVY,1,239.0,0.0,0.1595441550016403,327.0,592.0,265.0,0
154,ARM,FOREST,1,105.0,0.0,0.1245144307613372,17.0,592.0,609.0,0
155,ARM,GUN,1,36.0,5.0,0.1268656402826309,20.0,592.0,612.0,0
156,ARM,HEAD,1,11.0,1.0,0.1486516445875167,11.0,592.0,603.0,0
157,ARM,HOLD,2,75.0,0.0,0.0063086259178817,176.0,592.0,416.0,1
158,ARM,LAND,2,94.0,0.0,0.1382080167531967,12.0,592.0,604.0,1
159,ARM,MOUNTAIN,1,91.0,0.0,0.0945054441690445,24.0,592.0,616.0,0
161,ARM,NIGHT,3,30.0,0.0,0.0060944408178329,96.0,592.0,496.0,1
162,ARM,PILLOW,1,25.0,0.0,0.0982739254832267,21.0,592.0,613.0,0
163,ARM,POST,1,114.0,0.0,0.2044022381305694,59.0,592.0,533.0,0
165,ARM,ROOM,2,52.0,0.0,0.1212329566478729,26.0,592.0,566.0,1
166,ARM,ROPE,1,89.0,0.0,0.09974405169487,16.0,592.0,608.0,0
167,ARM,SHOULDER,8,72.0,5.0,0.1139846593141555,3.0,592.0,589.0,1
168,ARM,SLAVE,2,194.0,0.0,0.0964168235659599,53.0,592.0,539.0,1
169,ARM,STRENGTH,1,133.0,1.0,0.1875663846731186,253.0,592.0,339.0,0
170,ARM,SWEEP,1,89.0,0.0,0.0949774831533432,116.0,592.0,476.0,0
171,ARM,VALLEY,6,147.0,0.0,0.0841094180941581,17.0,592.0,575.0,1
172,ARM,WASH,2,6.0,0.0,0.0974175855517387,145.0,592.0,447.0,1
173,ARM,WEST,1,150.0,0.0,0.1530819535255432,237.0,592.0,355.0,0
174,ARM,WOMAN,1,66.0,0.0,0.0857373476028442,12.0,592.0,580.0,0
175,ARMOUR,CAR,1,203.0,0.0,0.1287026107311248,31.0,591.0,622.0,0
176,ARMOUR,CLOTHES,1,206.0,0.0,0.2046113908290863,9.0,591.0,600.0,0
177,ARMOUR,HAMMER,1,122.0,0.0,0.2338396310806274,14.0,591.0,605.0,0
178,ARMOUR,IRON,1,119.0,0.0,0.3153589069843292,7.0,591.0,584.0,0
179,ARMOUR,ISLAND,2,111.0,0.0,0.1958358287811279,5.0,591.0,596.0,1
180,ARMOUR,LOCK,1,72.0,0.0,0.1997093111276626,26.0,591.0,565.0,0
181,ARMOUR,OVEN,1,164.0,0.0,0.3023653924465179,2.0,591.0,593.0,0
182,ARMOUR,SHIELD,6,50.0,0.0,0.2225290536880493,15.0,591.0,576.0,1
183,ARMOUR,TOOL,2,100.0,0.0,0.1793013513088226,21.0,591.0,570.0,1
184,ARMOUR,VOICE,1,125.0,0.0,0.1851655542850494,106.0,591.0,485.0,0
185,ARMY,BRICK,1,56.0,0.0,0.2968870401382446,67.0,543.0,610.0,0
186,ARMY,COUNTRY,1,12.0,1.0,0.4539868831634521,78.0,543.0,465.0,0
187,ARMY,DOOR,1,103.0,0.0,0.3904531896114349,63.0,543.0,606.0,0
189,ARMY,ENEMY,1,50.0,0.0,0.5110673904418945,109.0,543.0,434.0,0
190,ARMY,FIGHT,1,56.0,5.0,0.4213661849498749,88.0,543.0,455.0,0
191,ARMY,GUARD,3,27.0,0.0,0.5515904426574707,26.0,543.0,517.0,1
192,ARMY,HEAVEN,2,45.0,0.0,0.4457077085971832,238.0,543.0,305.0,1
193,ARMY,LOVE,1,14.0,0.0,0.4462786912918091,232.0,543.0,311.0,0
194,ARMY,MOTHER,1,173.0,0.0,0.2737613916397095,36.0,543.0,579.0,0
195,ARMY,NIGHT,1,95.0,0.0,0.4316776096820831,47.0,543.0,496.0,0
196,ARMY,PEOPLE,1,36.0,0.0,0.3398744761943817,3.0,543.0,540.0,0
197,ARMY,SLAVE,1,69.0,0.0,0.4069548547267914,4.0,543.0,539.0,0
198,ARMY,SOLDIER,43,42.0,30.0,0.5145691633224487,35.0,543.0,578.0,1
199,ARMY,WAR,1,3.0,26.0,0.4288052022457123,66.0,543.0,477.0,0
200,ARMY,WHEAT,1,69.0,0.0,0.3374383449554443,51.0,543.0,594.0,0
201,ARMY,WOOD,1,48.0,0.0,0.2857519686222076,63.0,543.0,606.0,0
202,ASH,BITE,1,129.0,0.0,0.1824248135089874,74.0,583.0,509.0,0
203,ASH,BOW,2,72.0,0.0,0.2907622754573822,11.0,583.0,572.0,1
204,ASH,BURN,1,126.0,11.0,0.2202070951461792,93.0,583.0,490.0,0
206,ASH,COTTON,1,37.0,0.0,0.2541848123073578,25.0,583.0,608.0,0
207,ASH,COVER,1,54.0,0.0,0.2231784015893936,81.0,583.0,502.0,0
208,ASH,DOG,2,174.0,1.0,0.1241790428757667,27.0,583.0,610.0,1
209,ASH,DOOR,2,129.0,0.0,0.113155648112297,23.0,583.0,606.0,1
211,ASH,FAMILY,1,63.0,0.0,0.166591390967369,58.0,583.0,525.0,0
212,ASH,FIGHT,1,82.0,0.0,0.1636011451482772,128.0,583.0,455.0,0
213,ASH,FINISH,1,43.0,0.0,0.2057963460683822,240.0,583.0,343.0,0
214,ASH,FRUIT,1,124.0,0.0,0.1725229769945144,29.0,583.0,612.0,0
215,ASH,GREEN,1,118.0,0.0,0.1838233470916748,123.0,583.0,460.0,0
216,ASH,GROUND,1,85.0,0.0,0.2282190471887588,25.0,583.0,558.0,0
217,ASH,ISLAND,1,54.0,0.0,0.1797280609607696,13.0,583.0,596.0,0
218,ASH,LAND,1,57.0,0.0,0.1634664088487625,21.0,583.0,604.0,0
221,ASH,LOOK,1,118.0,0.0,0.1830321550369262,207.0,583.0,376.0,0
222,ASH,MOTHER,1,199.0,0.0,0.1333321630954742,4.0,583.0,579.0,0
224,ASH,OVEN,5,107.0,0.0,0.1697458326816558,10.0,583.0,593.0,1
226,ASH,SAND,3,126.0,0.0,0.1797808110713958,33.0,583.0,616.0,1
227,ASH,SERVANT,1,63.0,0.0,0.2239993065595626,68.0,583.0,515.0,0
228,ASH,SHAME,3,24.0,0.0,0.2122005522251129,296.0,583.0,287.0,1
229,ASH,SLAVE,4,43.0,0.0,0.1556996256113052,44.0,583.0,539.0,1
231,ASH,SNAKE,3,54.0,0.0,0.1853852123022079,38.0,583.0,621.0,1
232,ASH,STOVE,1,46.0,1.0,0.2356409728527069,8.0,583.0,591.0,0
233,ASH,SUN,2,162.0,0.0,0.2387169003486633,34.0,583.0,617.0,1
234,ASH,THROW,2,79.0,0.0,0.186284452676773,183.0,583.0,400.0,1
235,ASH,WOMAN,1,85.0,0.0,0.1058536022901535,3.0,583.0,580.0,0
236,ASH,WORM,3,90.0,0.0,0.1227968111634254,28.0,583.0,611.0,1
237,ASH,YEAR,1,74.0,0.0,0.1594882011413574,219.0,583.0,364.0,0
238,AUNT,BROTHER,3,14.0,1.0,0.6532240509986877,21.0,564.0,585.0,1
239,AUNT,COUSIN,8,45.0,15.0,0.7620368003845215,62.0,564.0,502.0,1
240,AUNT,FACE,1,67.0,0.0,0.4277527034282684,35.0,564.0,599.0,0
241,AUNT,FOREST,1,64.0,0.0,0.4354209005832672,45.0,564.0,609.0,0
242,AUNT,GRANDMOTHER,9,25.0,0.0,0.5879913568496704,15.0,564.0,579.0,1
243,AUNT,HEAD,1,52.0,0.0,0.4748899936676025,39.0,564.0,603.0,0
245,AUNT,INTENTION,1,248.0,0.0,0.5265389084815979,279.0,564.0,285.0,0
