Unnamed: 0,concept_1,concept_2,colexification_count,age_acquisition_diff,assoc,Word2Vec_similarity
110,ANSWER,THROW,1,30.0,0.0,0.30201584100723267
111,ANSWER,TOBACCO,1,72.0,0.0,0.19289617240428925
112,ANSWER,TOWER,1,59.0,0.0,0.1486050933599472
113,ANSWER,TRY,1,65.0,0.0,0.152353435754776
114,ANSWER,TURN,3,61.0,0.0,0.371031254529953
116,ANSWER,WALK,1,88.0,0.0,0.34929710626602173
117,ANSWER,WASH,1,108.0,0.0,0.2083490937948227
118,ANSWER,YEAR,3,25.0,0.0,0.17148278653621674
119,APPLE,BERRY,1,78.0,0.0,0.43546396493911743
120,APPLE,CATTLE,1,50.0,0.0,0.41823261976242065
121,APPLE,FRUIT,2,8.0,34.0,0.5075607299804688
122,APPLE,MAST,1,181.0,0.0,0.20351625978946686
123,APPLE,NIGHT,1,11.0,0.0,0.42553210258483887
124,APPLE,WASH,1,25.0,0.0,0.2937903106212616
125,APPROACH,DEW,1,113.0,0.0,0.19114117324352264
126,APPROACH,HATE,1,166.0,0.0,0.3967103660106659
127,APPROACH,HOLD,1,177.0,0.0,0.4159473180770874
129,APPROACH,NEIGHBOUR,1,121.0,0.0,0.42969241738319397
131,APPROACH,PLAIN,1,83.0,0.0,0.5123634934425354
132,APPROACH,SPLIT,1,63.0,0.0,0.5859187245368958
133,APPROACH,TOUCH,1,175.0,0.0,0.5098363161087036
134,APPROACH,TURN,1,211.0,0.0,0.5130923986434937
135,ARCH,BACK,1,142.0,14.0,0.28722837567329407
136,ARCH,BOW,28,96.0,1.0,0.2870722711086273
137,ARCH,CIRCLE,3,153.0,2.0,0.2546689212322235
138,ARCH,DITCH,1,75.0,0.0,0.23649181425571442
139,ARCH,PRISONER,1,6.0,0.0,0.21337346732616425
140,ARM,AXE,1,119.0,0.0,0.07502727955579758
141,ARM,BACK,1,33.0,0.0,0.05592186748981476
142,ARM,BIRD,1,14.0,0.0,0.08151021599769592
143,ARM,BRANCH,5,111.0,3.0,0.08590460568666458
144,ARM,BUD,1,139.0,0.0,0.08365162461996078
145,ARM,BUNCH,1,125.0,0.0,0.13608317077159882
147,ARM,BUSH,1,64.0,0.0,0.12068503350019455
148,ARM,CLAY,1,166.0,0.0,0.12360052019357681
149,ARM,DRINK,1,19.0,0.0,0.08513525873422623
151,ARM,EDGE,1,116.0,0.0,0.23164036870002747
152,ARM,ELBOW,6,45.0,9.0,0.09520917385816574
153,ARM,ENVY,1,239.0,0.0,0.15954415500164032
154,ARM,FOREST,1,105.0,0.0,0.12451443076133728
155,ARM,GUN,1,36.0,5.0,0.12686564028263092
156,ARM,HEAD,1,11.0,1.0,0.14865164458751678
157,ARM,HOLD,2,75.0,0.0,0.006308625917881727
158,ARM,LAND,2,94.0,0.0,0.13820801675319672
